"agency_raw","agency_canonical","agency_group","match_method"
"Across the International Division, we work on international education policy challenges and high profile initiatives that support the sustainable development and growth of our international education sector. The Division has multiple current and expected vacancies for APS 4 Policy Officers. These positions are responsible for contributing to the development and implementation of innovative and high quality strategic policy, undertaking research using a range of sources, and analysing and presenting findings, including through the use of data and evidence. Positions will also be responsible for supporting bilateral and multilateral engagement, liaising with international and domestic stakeholders, and managing discrete projects.","Department of Education","Education department","manual"
"Administrative Appeals Tribunal","Administrative Appeals Tribunal","Administrative review body","exact"
"Aged Care Quality and Safety Commission","Aged Care Quality and Safety Commission","Aged Care Quality and Safety Commission","exact"
"Agriculture, Water and the Environment","","","division_required"
"Agriculture, Water and the Environment Australian Pesticides and Veterinary Medicines Authority","Australian Pesticides and Veterinary Medicines Authority","Australian Pesticides and Veterinary Medicines Authority","portfolio_strip"
"Agriculture, Water and the Environment Bureau of Meteorology","Bureau of Meteorology","Bureau of Meteorology","portfolio_strip"
"Agriculture, Water and the Environment Department of Agriculture, Fisheries and Forestry","Department of Agriculture, Fisheries and Forestry","Agriculture department","portfolio_strip"
"Agriculture, Water and the Environment Department of Climate Change, Energy, the Environment and Water (DCCEEW)","Department of Climate Change, Energy, the Environment and Water","Climate and environment department","portfolio_strip"
"Asbestos Safety and Eradication Agency","Asbestos and Silica Safety and Eradication Agency","Asbestos and Silica Safety and Eradication Agency","manual"
"Asbestos and Silica Safety and Eradication Agency","Asbestos and Silica Safety and Eradication Agency","Asbestos and Silica Safety and Eradication Agency","exact"
"Attorney-General's Department","Attorney-General's Department","Attorney-General's Department","exact"
"Attorney-General’s","Attorney-General's Department","Attorney-General's Department","portfolio_only"
"Attorney-General’s Attorney-General's Department","Attorney-General's Department","Attorney-General's Department","portfolio_strip"
"Attorney-General’s National Anti-Corruption Commission","National Anti-Corruption Commission","NACC","portfolio_strip"
"Austrade","Austrade","Austrade","exact"
"Australian Antarctic","Department of Climate Change, Energy, the Environment and Water","Climate and environment department","manual"
"Australian Antarctic Division","Department of Climate Change, Energy, the Environment and Water","Climate and environment department","manual"
"Australian Building and Construction Commission","Australian Building and Construction Commission","Australian Building and Construction Commission","exact"
"Australian Bureau of Statistics","Australian Bureau of Statistics","Australian Bureau of Statistics","exact"
"Australian Centre for International Agricultural","Australian Centre for International Agricultural Research","Australian Centre for International Agricultural Research","manual"
"Australian Centre for International Agricultural Research (ACIAR)","Australian Centre for International Agricultural Research","Australian Centre for International Agricultural Research","exact"
"Australian Charities and Not-for-profits Commission","Australian Charities and Not-for-profits Commission","Australian Charities and Not-for-profits Commission","exact"
"Australian Charities and Not-for-profits Commission (ACNC)","Australian Charities and Not-for-profits Commission","Australian Charities and Not-for-profits Commission","exact"
"Australian Children's Education and Care Quality","Australian Children's Education and Care Quality Authority","Australian Children's Education and Care Quality Authority","manual"
"Australian Children's Education and Care Quality Authority","Australian Children's Education and Care Quality Authority","Australian Children's Education and Care Quality Authority","exact"
"Australian Commission for Law Enforcement Integrity","Australian Commission for Law Enforcement Integrity","NACC","exact"
"Australian Commission on Safety and Quality in","Australian Commission on Safety and Quality in Health Care","Australian Commission on Safety and Quality in Health Care","manual"
"Australian Commission on Safety and Quality in Health Care (ACSQHC)","Australian Commission on Safety and Quality in Health Care","Australian Commission on Safety and Quality in Health Care","exact"
"Australian Communications and Media Authority","Australian Communications and Media Authority","Australian Communications and Media Authority","exact"
"Australian Competition and Consumer Commission","Australian Competition and Consumer Commission","Australian Competition and Consumer Commission","exact"
"Australian Criminal Intelligence Commission (ACIC)","Australian Criminal Intelligence Commission","Australian Criminal Intelligence Commission","exact"
"Australian Curriculum, Assessment and Reporting","Australian Curriculum, Assessment and Reporting Authority","Australian Curriculum, Assessment and Reporting Authority","manual"
"Australian Curriculum, Assessment and Reporting Authority (ACARA)","Australian Curriculum, Assessment and Reporting Authority","Australian Curriculum, Assessment and Reporting Authority","exact"
"Australian Digital Health Agency","Australian Digital Health Agency","Australian Digital Health Agency","exact"
"Australian Electoral Commission","Australian Electoral Commission","Australian Electoral Commission","exact"
"Australian Federal Police","Australian Federal Police","Australian Federal Police","exact"
"Australian Financial Security Authority","Australian Financial Security Authority","Australian Financial Security Authority","exact"
"Australian Fisheries Management Authority","Australian Fisheries Management Authority","Australian Fisheries Management Authority","exact"
"Australian Government Solicitor","Australian Government Solicitor","Australian Government Solicitor","exact"
"Australian Human Rights Commission","Australian Human Rights Commission","Australian Human Rights Commission","exact"
"Australian Institute Of Marine Science","Australian Institute of Marine Science","Australian Institute of Marine Science","exact"
"Australian Institute for Teaching and School","Australian Institute for Teaching and School Leadership","Australian Institute for Teaching and School Leadership","manual"
"Australian Institute of Aboriginal and Torres Strait","Australian Institute of Aboriginal and Torres Strait Islander Studies","Australian Institute of Aboriginal and Torres Strait Islander Studies","manual"
"Australian Institute of Aboriginal and Torres Strait Islander Studies","Australian Institute of Aboriginal and Torres Strait Islander Studies","Australian Institute of Aboriginal and Torres Strait Islander Studies","exact"
"Australian Institute of Family Studies","Australian Institute of Family Studies","Australian Institute of Family Studies","exact"
"Australian Institute of Health and Welfare","Australian Institute of Health and Welfare","Australian Institute of Health and Welfare","exact"
"Australian Law Reform Commission","Australian Law Reform Commission","Australian Law Reform Commission","exact"
"Australian Maritime Safety Authority","Australian Maritime Safety Authority","Australian Maritime Safety Authority","exact"
"Australian National Maritime Museum","Australian National Maritime Museum","Australian National Maritime Museum","exact"
"Australian Naval Nuclear Power Safety Regulator","Australian Naval Nuclear Power Safety Regulator","Australian Naval Nuclear Power Safety Regulator","exact"
"Australian Nuclear Science and Technology Organisation","Australian Nuclear Science and Technology Organisation","Australian Nuclear Science and Technology Organisation","exact"
"Australian Office of Financial Management","Australian Office of Financial Management","Australian Office of Financial Management","exact"
"Australian Pesticides and Veterinary Medicines","Australian Pesticides and Veterinary Medicines Authority","Australian Pesticides and Veterinary Medicines Authority","manual"
"Australian Pesticides and Veterinary Medicines Authority","Australian Pesticides and Veterinary Medicines Authority","Australian Pesticides and Veterinary Medicines Authority","exact"
"Australian Prudential Regulatory Authority","Australian Prudential Regulation Authority","Australian Prudential Regulation Authority","manual"
"Australian Public Service Commission","Australian Public Service Commission","Australian Public Service Commission","exact"
"Australian Radiation Protection and Nuclear Safety","Australian Radiation Protection and Nuclear Safety Agency","Australian Radiation Protection and Nuclear Safety Agency","manual"
"Australian Radiation Protection and Nuclear Safety Agency","Australian Radiation Protection and Nuclear Safety Agency","Australian Radiation Protection and Nuclear Safety Agency","exact"
"Australian Secret Intelligence Service","Australian Secret Intelligence Service","Australian Secret Intelligence Service","exact"
"Australian Securities and Investments Commission","Australian Securities and Investments Commission","Australian Securities and Investments Commission","exact"
"Australian Security Intelligence Organisation","Australian Security Intelligence Organisation","Australian Security Intelligence Organisation","exact"
"Australian Signals Directorate","Australian Signals Directorate","Australian Signals Directorate","exact"
"Australian Skills Quality Authority (ASQA)","Australian Skills Quality Authority","Australian Skills Quality Authority","exact"
"Australian Sports Anti-Doping Authority","Australian Sports Anti-Doping Authority","Sport Integrity Australia","exact"
"Australian Sports Commission","Australian Sports Commission","Australian Sports Commission","exact"
"Australian Strategic Policy Institute","Australian Strategic Policy Institute","Australian Strategic Policy Institute","exact"
"Australian Submarine Agency","Australian Submarine Agency","Australian Submarine Agency","exact"
"Australian Taxation Office","Australian Taxation Office","Australian Taxation Office","exact"
"Australian Transaction Reports and Analysis Centre","Australian Transaction Reports and Analysis Centre","Australian Transaction Reports and Analysis Centre","exact"
"Australian Transaction Reports and Analysis Centre (AUSTRAC)","Australian Transaction Reports and Analysis Centre","Australian Transaction Reports and Analysis Centre","exact"
"Australian Transport Safety Bureau","Australian Transport Safety Bureau","Australian Transport Safety Bureau","exact"
"Biosecurity Plant and Science Services","","","uncertain"
"Bureau of Meteorology","Bureau of Meteorology","Bureau of Meteorology","exact"
"Cancer Australia","Cancer Australia","Cancer Australia","exact"
"Central Land Council","Central Land Council","Central Land Council","exact"
"Civil Aviation Safety Authority Australia","Civil Aviation Safety Authority","Civil Aviation Safety Authority","prefix"
"Climate Change Authority","Climate Change Authority","Climate Change Authority","exact"
"Climate Change, Energy, the","","","uncertain"
"Climate Change, Energy, the Environment and Water","Department of Climate Change, Energy, the Environment and Water","Climate and environment department","portfolio_only"
"Comcare","Comcare","Comcare","exact"
"Commonwealth Scientific and Industrial Research","Commonwealth Scientific and Industrial Research Organisation","Commonwealth Scientific and Industrial Research Organisation","manual"
"Commonwealth Scientific and Industrial Research Organisation (CSIRO)","Commonwealth Scientific and Industrial Research Organisation","Commonwealth Scientific and Industrial Research Organisation","exact"
"Communications Infrastructure","Department of Infrastructure, Transport, Regional Development, Communications and the Arts","Infrastructure department","manual"
"Communications and the Arts","","","division_required"
"Communications and the Arts Australian Communications and Media Authority","Australian Communications and Media Authority","Australian Communications and Media Authority","portfolio_strip"
"Defence","Department of Defence","Department of Defence","portfolio_only"
"Defence Housing Australia","Defence Housing Australia","Defence Housing Australia","exact"
"Department of Agriculture","Department of Agriculture, Water and the Environment","Agriculture department","manual"
"Department of Agriculture, Fisheries and Forestry","Department of Agriculture, Fisheries and Forestry","Agriculture department","exact"
"Department of Agriculture, Forestry and Fisheries","Department of Agriculture, Fisheries and Forestry","Agriculture department","manual"
"Department of Agriculture, Water and the Environment","Department of Agriculture, Water and the Environment","Agriculture department","exact"
"Department of Climate Change, Energy, the","Department of Climate Change, Energy, the Environment and Water","Climate and environment department","manual"
"Department of Climate Change, Energy, the Environment and Water (DCCEEW)","Department of Climate Change, Energy, the Environment and Water","Climate and environment department","exact"
"Department of Communications and the Arts","Department of Infrastructure, Transport, Regional Development, Communications and the Arts","Infrastructure department","manual"
"Department of Defence","Department of Defence","Department of Defence","exact"
"Department of Education (EDUCATION)","Department of Education","Education department","exact"
"Department of Education, Skills and Employment","Department of Education, Skills and Employment","Education department","exact"
"Department of Employment and Workplace Relations","Department of Employment and Workplace Relations","Employment department","exact"
"Department of Employment and Workplace Relations (DEWR)","Department of Employment and Workplace Relations","Employment department","exact"
"Department of Finance","Department of Finance","Department of Finance","exact"
"Department of Foreign Affairs and Trade","Department of Foreign Affairs and Trade","Department of Foreign Affairs and Trade","exact"
"Department of Health","Department of Health","Health department","exact"
"Department of Health and Aged Care","Department of Health and Aged Care","Health department","exact"
"Department of Health, Disability and Ageing","Department of Health, Disability and Ageing","Health department","exact"
"Department of Home Affairs","Department of Home Affairs","Department of Home Affairs","exact"
"Department of Industry, Innovation and Science","Department of Industry, Science and Resources","Industry department","manual"
"Department of Industry, Science and Resources","Department of Industry, Science and Resources","Industry department","exact"
"Department of Industry, Science and Resources (DISR)","Department of Industry, Science and Resources","Industry department","exact"
"Department of Industry, Science, Energy and Resources","Department of Industry, Science and Resources","Industry department","exact"
"Department of Infrastructure, Transport, Cities and Regional Development","Department of Infrastructure, Transport, Regional Development, Communications and the Arts","Infrastructure department","manual"
"Department of Infrastructure, Transport, Regional","","","uncertain"
"Department of Infrastructure, Transport, Regional Development and Communications","Department of Infrastructure, Transport, Regional Development, Communications and the Arts","Infrastructure department","exact"
"Department of Infrastructure, Transport, Regional Development, Communications and the Arts","Department of Infrastructure, Transport, Regional Development, Communications and the Arts","Infrastructure department","exact"
"Department of Infrastructure, Transport, Regional Development, Communications, Sport and the Arts","Department of Infrastructure, Transport, Regional Development, Communications and the Arts","Infrastructure department","exact"
"Department of Parliamentary Services","Department of Parliamentary Services","Department of Parliamentary Services","exact"
"Department of Social Services","Department of Social Services","Department of Social Services","exact"
"Department of Surge Testing","Department of Health and Aged Care","Health department","manual"
"Department of Testing","","","uncertain"
"Department of the Environment and Energy","Department of Climate Change, Energy, the Environment and Water","Climate and environment department","manual"
"Department of the House of Representatives","Department of the House of Representatives","Department of the House of Representatives","exact"
"Department of the Prime Minister and Cabinet","Department of the Prime Minister and Cabinet","Department of the Prime Minister and Cabinet","exact"
"Department of the Senate","Department of the Senate","Department of the Senate","exact"
"Department of the Treasury","Department of the Treasury","Department of the Treasury","exact"
"Digital Transformation Agency (DTA)","Digital Transformation Agency","Digital Transformation Agency","exact"
"Director of Public Prosecutions","Director of Public Prosecutions","Director of Public Prosecutions","exact"
"Domestic, Family and Sexual Violence Commission","Domestic, Family and Sexual Violence Commission","Domestic, Family and Sexual Violence Commission","exact"
"Education","","","division_required"
"Education, Skills and Employment","","","division_required"
"Education, Skills and Employment Department of Education (EDUCATION)","Department of Education","Education department","portfolio_strip"
"Education, Skills and Employment Department of Education, Skills and Employment","Department of Education, Skills and Employment","Education department","portfolio_strip"
"Education, Skills and Employment Department of Employment and Workplace Relations (DEWR)","Department of Employment and Workplace Relations","Employment department","portfolio_strip"
"Education, Skills and Employment Tertiary Education Quality and Standards Agency","Tertiary Education Quality and Standards Agency","Tertiary Education Quality and Standards Agency","portfolio_strip"
"Employment and Workplace Relations","Department of Employment and Workplace Relations","Employment department","portfolio_only"
"Employment and Workplace Relations Asbestos and Silica Safety and Eradication Agency","Asbestos and Silica Safety and Eradication Agency","Asbestos and Silica Safety and Eradication Agency","portfolio_strip"
"Environment and Energy","Clean Energy Regulator","Clean Energy Regulator","portfolio_only"
"Export Finance Australia","Export Finance Australia","Export Finance Australia","exact"
"Fair Work Ombudsman and Registered Organisations","Fair Work Ombudsman","Fair Work Ombudsman","prefix"
"Fair Work Ombudsman and Registered Organisations Commission Entity","Fair Work Ombudsman","Fair Work Ombudsman","prefix"
"Federal Circuit and Family Court of Australia","Federal Circuit and Family Court of Australia","Federal Circuit and Family Court of Australia","exact"
"Federal Court of Australia","Federal Court of Australia","Federal Court of Australia","exact"
"Finance","Department of Finance","Department of Finance","portfolio_only"
"Food Standards Australia New Zealand","Food Standards Australia New Zealand","Food Standards Australia New Zealand","exact"
"Foreign Affairs and Trade","Department of Foreign Affairs and Trade","Department of Foreign Affairs and Trade","portfolio_only"
"Future Fund Management Agency","Future Fund Management Agency","Future Fund Management Agency","exact"
"Great Barrier Reef Marine Park Authority","Great Barrier Reef Marine Park Authority","Great Barrier Reef Marine Park Authority","exact"
"Health","","","uncertain"
"High Court of Australia","High Court of Australia","High Court of Australia","exact"
"Home Affairs","Department of Home Affairs","Department of Home Affairs","portfolio_only"
"Home Affairs Australian Federal Police","Australian Federal Police","Australian Federal Police","portfolio_strip"
"[contact text redacted]","National Disability Insurance Agency","National Disability Insurance Agency","manual"
"In the International Division, we operate as policy advisors, representatives, analysts, administrators, and diplomats. We work across the Australian Government, state and territory governments, and education providers to protect and support the sustainable growth of our international education sector and ensure Australia is recognised as a world leader in education and training. With staff based in 10 countries, we also work closely with foreign partner governments to advance Australia’s economic growth, public diplomacy, and national security. We engage closely with priority countries in Latin America, North Asia, Southeast Asia and South","Department of Education","Education department","manual"
"Independent Health and Aged Care Pricing Authority","Independent Health and Aged Care Pricing Authority","Independent Health and Aged Care Pricing Authority","exact"
"Independent Hospital Pricing Authority","Independent Hospital Pricing Authority","Independent Hospital Pricing Authority","exact"
"Independent Parliamentary Expenses Authority","Independent Parliamentary Expenses Authority","Independent Parliamentary Expenses Authority","exact"
"Indigenous Business Australia","Indigenous Business Australia","Indigenous Business Australia","exact"
"Indigenous Land and Sea Corporation","Indigenous Land and Sea Corporation","Indigenous Land and Sea Corporation","exact"
"Industry, Innovation and Science","","","division_required"
"Industry, Innovation and Science Department of Industry, Innovation and Science","Department of Industry, Science and Resources","Industry department","manual"
"Industry, Science, Energy and","","","division_required"
"Industry, Science, Energy and Resources","Department of Industry, Science and Resources","Industry department","portfolio_only"
"Industry, Science, Energy and Resources Australian Nuclear Science and Technology Organisation","Australian Nuclear Science and Technology Organisation","Australian Nuclear Science and Technology Organisation","portfolio_strip"
"Industry, Science, Energy and Resources Commonwealth Scientific and Industrial Research Organisation (CSIRO)","Commonwealth Scientific and Industrial Research Organisation","Commonwealth Scientific and Industrial Research Organisation","portfolio_strip"
"Industry, Science, Energy and Resources Department of Industry, Science and Resources (DISR)","Department of Industry, Science and Resources","Industry department","portfolio_strip"
"Industry, Science, Energy and Resources Department of Industry, Science, Energy and Resources","Department of Industry, Science and Resources","Industry department","portfolio_strip"
"Infrastructure Australia","Infrastructure Australia","Infrastructure Australia","exact"
"Infrastructure and Project Financing Agency (IPFA)","Infrastructure and Project Financing Agency","Infrastructure and Project Financing Agency","exact"
"Infrastructure, Transport, Cities and","Department of Infrastructure, Transport, Regional Development, Communications and the Arts","Infrastructure department","manual"
"Infrastructure, Transport, Cities and Regional Development Department of Infrastructure, Transport, Cities and Regional Development","Department of Infrastructure, Transport, Regional Development, Communications and the Arts","Infrastructure department","manual"
"Infrastructure, Transport, Cities and Regional Development Department of Infrastructure, Transport, Regional Development and Communications","Department of Infrastructure, Transport, Regional Development, Communications and the Arts","Infrastructure department","manual"
"Infrastructure, Transport, Regional","","","uncertain_after_strip:Infrastructure"
"Infrastructure, Transport, Regional Development and Communications","Department of Infrastructure, Transport, Regional Development, Communications and the Arts","Infrastructure department","portfolio_only"
"Infrastructure, Transport, Regional Development and Communications Australian Broadcasting Corporation (ABC)","","","uncertain_after_strip:Infrastructure, Transport, Regional Development and Communications"
"Infrastructure, Transport, Regional Development and Communications Department of Infrastructure, Transport, Regional Development and Communications","Department of Infrastructure, Transport, Regional Development, Communications and the Arts","Infrastructure department","portfolio_strip"
"Infrastructure, Transport, Regional Development and Communications Department of Infrastructure, Transport, Regional Development, Communications and the Arts","Department of Infrastructure, Transport, Regional Development, Communications and the Arts","Infrastructure department","portfolio_strip"
"Infrastructure, Transport, Regional Development and Communications Department of Infrastructure, Transport, Regional Development, Communications, Sport and the Arts","Department of Infrastructure, Transport, Regional Development, Communications and the Arts","Infrastructure department","portfolio_strip"
"Infrastructure, Transport, Regional Development and Communications Museum of Australian Democracy - Old Parliament House","Museum of Australian Democracy - Old Parliament House","Museum of Australian Democracy - Old Parliament House","portfolio_strip"
"Infrastructure, Transport, Regional Development and Communications National Film and Sound Archive of Australia","National Film and Sound Archive of Australia","National Film and Sound Archive of Australia","portfolio_strip"
"Job Description","Bureau of Meteorology","Bureau of Meteorology","manual"
"Murray-Darling Basin Authority","Murray-Darling Basin Authority","Murray-Darling Basin Authority","exact"
"Museum of Australian Democracy - Old Parliament","Museum of Australian Democracy - Old Parliament House","Museum of Australian Democracy - Old Parliament House","manual"
"Museum of Australian Democracy - Old Parliament House","Museum of Australian Democracy - Old Parliament House","Museum of Australian Democracy - Old Parliament House","exact"
"National Archives of Australia","National Archives of Australia","National Archives of Australia","exact"
"National Capital Authority","National Capital Authority","National Capital Authority","exact"
"National Commission for Aboriginal and Torres Strait","","","division_required"
"National Disability Insurance Agency","National Disability Insurance Agency","National Disability Insurance Agency","exact"
"National Disability Insurance Scheme (NDIS) Quality","NDIS Quality and Safeguards Commission","NDIS Quality and Safeguards Commission","manual"
"National Disability Insurance Scheme (NDIS) Quality and Safeguards Commission","NDIS Quality and Safeguards Commission","NDIS Quality and Safeguards Commission","exact"
"National Drought and North Queensland Flood Response and Recovery Agency","National Drought and North Queensland Flood Response and Recovery Agency","National Drought and North Queensland Flood Response and Recovery Agency","exact"
"National Emergency Management Agency","National Emergency Management Agency","National Emergency Management Agency","exact"
"National Faster Rail Agency","National Faster Rail Agency","National Faster Rail Agency","exact"
"National Film and Sound Archive of Australia","National Film and Sound Archive of Australia","National Film and Sound Archive of Australia","exact"
"National Gallery of Australia","National Gallery of Australia","National Gallery of Australia","exact"
"National Health and Medical Research Council","National Health and Medical Research Council","National Health and Medical Research Council","exact"
"National Heavy Vehicle Regulator","National Heavy Vehicle Regulator","National Heavy Vehicle Regulator","exact"
"National Indigenous Australians Agency","National Indigenous Australians Agency","National Indigenous Australians Agency","exact"
"National Library of Australia","National Library of Australia","National Library of Australia","exact"
"National Mental Health Commission","National Mental Health Commission","National Mental Health Commission","exact"
"National Native Title Tribunal","National Native Title Tribunal","National Native Title Tribunal","exact"
"National Offshore Petroleum Safety and","National Offshore Petroleum Safety and Environmental Management Authority","National Offshore Petroleum Safety and Environmental Management Authority","manual"
"National Offshore Petroleum Safety and Environmental Management Authority (NOPSEMA)","National Offshore Petroleum Safety and Environmental Management Authority","National Offshore Petroleum Safety and Environmental Management Authority","exact"
"National Portrait Gallery of Australia","National Portrait Gallery of Australia","National Portrait Gallery of Australia","exact"
"National Recovery and Resilience Agency","National Recovery and Resilience Agency","National Recovery and Resilience Agency","exact"
"North Queensland Water Infrastructure Authority","North Queensland Water Infrastructure Authority","North Queensland Water Infrastructure Authority","exact"
"Northern Territory Aboriginal Investment Corporation","Northern Territory Aboriginal Investment Corporation","Northern Territory Aboriginal Investment Corporation","exact"
"Office of National Intelligence","Office of National Intelligence","Office of National Intelligence","exact"
"Office of the Australian Information Commissioner","Office of the Australian Information Commissioner","Office of the Australian Information Commissioner","exact"
"Office of the Inspector-General of Aged Care","Office of the Inspector-General of Aged Care","Office of the Inspector-General of Aged Care","exact"
"Office of the Inspector-General of Intelligence and","Office of the Inspector-General of Intelligence and Security","Office of the Inspector-General of Intelligence and Security","manual"
"Office of the Inspector-General of Intelligence and Security","Office of the Inspector-General of Intelligence and Security","Office of the Inspector-General of Intelligence and Security","exact"
"Office of the Inspector-General of Taxation","Office of the Inspector-General of Taxation","Office of the Inspector-General of Taxation","exact"
"Office of the Official Secretary to the","","","uncertain"
"Office of the Official Secretary to the Governor-General","Office of the Official Secretary to the Governor-General","Office of the Official Secretary to the Governor-General","exact"
"Office of the eSafety Commissioner","Office of the eSafety Commissioner","Office of the eSafety Commissioner","exact"
"Parliamentary Budget Office","Parliamentary Budget Office","Parliamentary Budget Office","exact"
"Parliamentary Department","Department of Parliamentary Services","Department of Parliamentary Services","portfolio_only"
"Parliamentary Department Department of Parliamentary Services","Department of Parliamentary Services","Department of Parliamentary Services","portfolio_strip"
"Parliamentary Workplace Support Service (PWSS)","Parliamentary Workplace Support Service","Parliamentary Workplace Support Service","exact"
"Prime Minister and Cabinet","Department of the Prime Minister and Cabinet","Department of the Prime Minister and Cabinet","portfolio_only"
"Prime Minister and Cabinet Department of the Prime Minister and Cabinet","Department of the Prime Minister and Cabinet","Department of the Prime Minister and Cabinet","portfolio_strip"
"Prime Minister and Cabinet National Indigenous Australians Agency","National Indigenous Australians Agency","National Indigenous Australians Agency","portfolio_strip"
"Prime Minister and Cabinet National Recovery and Resilience Agency","National Recovery and Resilience Agency","National Recovery and Resilience Agency","portfolio_strip"
"Prime Minister and Cabinet Torres Strait Regional Authority","Torres Strait Regional Authority","Torres Strait Regional Authority","portfolio_strip"
"Productivity Commission","Productivity Commission","Productivity Commission","exact"
"Royal Australian Mint","Royal Australian Mint","Royal Australian Mint","exact"
"Royal Australian Navy Central Canteens Board, trading as The Navy’s Anchorage","","","uncertain"
"Screen Australia","Screen Australia","Screen Australia","exact"
"Senior Client Contact Officers work as part of a team contributing to integrated service delivery in a Client Service delivery environment. Senior Client Contact Officers perform moderately complex customer service and administrative work under limited direction in accordance with policy, process and legislative frameworks. This includes telephony support (taking calls) and face to face services as directed. Senior Client Contact Officers require an ability to understand and follow service delivery processes and competently use associated systems.","Department of Veterans' Affairs","Department of Veterans' Affairs","manual"
"Services Australia","Services Australia","Services Australia","exact"
"Services Australia (part of the Social","Services Australia","Services Australia","prefix"
"Services Australia (part of the Social Services Portfolio)","Services Australia","Services Australia","prefix"
"Services Australia (part of the Social Services Portfolio) Department of Human Services","Services Australia","Services Australia","prefix"
"Services Australia (part of the Social Services Portfolio) Services Australia","Services Australia","Services Australia","prefix"
"Social Services","Department of Social Services","Department of Social Services","portfolio_only"
"Social Services National Disability Insurance Agency","National Disability Insurance Agency","National Disability Insurance Agency","portfolio_strip"
"[contact text redacted]","National Disability Insurance Agency","National Disability Insurance Agency","manual"
"Sport Integrity Australia","Sport Integrity Australia","Sport Integrity Australia","exact"
"Sydney Harbour Federation Trust","Sydney Harbour Federation Trust","Sydney Harbour Federation Trust","exact"
"Taxation Ombudsman","Office of the Inspector-General of Taxation","Office of the Inspector-General of Taxation","manual"
"Tertiary Education Quality and Standards Agency","Tertiary Education Quality and Standards Agency","Tertiary Education Quality and Standards Agency","exact"
"The Bureau of Meteorology is undergoing a significant transformation to deliver a more customer centric, unified and resilient national operation. This is an exciting strategic direction for the Bureau which will transform the way we deliver services to Australian communities. The future operating model for the Bureau will open new career pathways and enhance our culture to empower our people to learn and grow. As part of this transformation, we are introducing new roles to assist the Bureau in delivering world class weather products and services within the newly formed Community Services Group. This group is comprised of Decision Support Services (DSS), Environmental Prediction Services (EPS), and National Production Services (NPS) which have been configured to enable scalable, national and resilient services. The DSS program will lead customer engagement within the Community Services Group with an overarching mission to deliver tailored, relevant and timely information to enable better decision making. The DSS program is characterised by its shared understanding of the impact that weather, water, climate and oceans have on the decisions that Bureau customers make every day. Operating with a national capability, the program will be accountable for leading engagement with the Australian community and the emergency management sector. This will be delivered by two dedicated teams: Hazard Preparedness and Response (HPR) and Community Engagement (CE). The state/territory Senior Hydrologist HPR is located in each capital city across Australia and will report into the State HPR Manager. The role will work alongside other state and territory based HPR and CE staff. The successful candidate will have a unique opportunity to help grow the Bureau’s HPR capabilities in support of our emergency management partners. During extreme weather events, this team is expected to undertake extended working hours as directed.","Bureau of Meteorology","Bureau of Meteorology","manual"
"The Team Leader role is essential in the daily running and resource management of the Incapacity Payments team. This role manages the workload, performance, accuracy, adherence to behaviours and productive relationship management across a large team. Ensuring a safe, organised and harmonious workplace with back-up strategies to cope with unexpected disruption to the Team’s operations is the primary task of the Team Leader. This role requires a person with strong leadership skills who actively supervises the operations of a team. They focus on delivering a high quality service to veterans and their families by promoting the use of best practice techniques, processes and technology applications and supervising service delivery behaviour and adherence to attendance plans.","Department of Veterans' Affairs","Department of Veterans' Affairs","manual"
"Therapeutic Goods Administration","Therapeutic Goods Administration","Therapeutic Goods Administration","exact"
"Torres Strait Regional Authority","Torres Strait Regional Authority","Torres Strait Regional Authority","exact"
"Treasury","Department of the Treasury","Department of the Treasury","portfolio_only"
"Treasury Australian Bureau of Statistics","Australian Bureau of Statistics","Australian Bureau of Statistics","portfolio_strip"
"Treasury Australian Taxation Office","Australian Taxation Office","Australian Taxation Office","portfolio_strip"
"Various","","","uncertain"
"Veterans’ Affairs (part of the Defence","","","uncertain"
"Veterans’ Affairs (part of the Defence Portfolio)","Department of Veterans' Affairs","Department of Veterans' Affairs","portfolio_only"
"Workplace Gender Equality Agency","Workplace Gender Equality Agency","Workplace Gender Equality Agency","exact"
